filename                         MJD Frequency   bandw backend   length           name       DM       RM
00058.FTS.fixedfreq.debase 50155.976  325.0000    -8.0 AFB        538.7      0631+1036  125.350    0.000
00059.FTS.fixedfreq.debase 50161.603  410.0000    -8.0 AFB       1438.8      0631+1036  125.350    0.000
00060.FTS.fixedfreq.debase 50165.796  410.0000    -8.0 AFB       1438.8      0631+1036  125.350    0.000
00061.FTS.fixedfreq.debase 50166.796  410.0000    -8.0 AFB       1079.1      0631+1036  125.350    0.000
00062.FTS.fixedfreq.debase 50170.585  606.0000    -8.0 AFB       1438.8      0631+1036  125.350    0.000
00063.FTS.fixedfreq.debase 50171.703  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00064.FTS.fixedfreq.debase 50172.792  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00065.FTS.fixedfreq.debase 50172.911  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00066.FTS.fixedfreq.debase 50173.927  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00067.FTS.fixedfreq.debase 50174.749  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00068.FTS.fixedfreq.debase 50175.769  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00069.FTS.fixedfreq.debase 50178.693  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00070.FTS.fixedfreq.debase 50179.840  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00071.FTS.fixedfreq.debase 50185.795 1412.0000   -32.0 AFB       1077.4      0631+1036  125.350    0.000
00072.FTS.fixedfreq.debase 50206.726 1412.0000   -32.0 AFB       1077.4      0631+1036  125.350    0.000
00073.FTS.fixedfreq.debase 50232.725  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00074.FTS.fixedfreq.debase 50236.528  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00075.FTS.fixedfreq.debase 50240.808 1412.0000   -32.0 AFB       1618.7      0631+1036  125.350    0.000
00076.FTS.fixedfreq.debase 50245.691 1412.0000   -32.0 AFB       1618.7      0631+1036  125.350    0.000
00077.FTS.fixedfreq.debase 50260.712 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00078.FTS.fixedfreq.debase 50264.543 1418.0000   -32.0 AFB      39971.7      0631+1036  125.350    0.000
00079.FTS.fixedfreq.debase 50268.747 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00080.FTS.fixedfreq.debase 50293.234 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00081.FTS.fixedfreq.debase 50298.309 1412.0000   -32.0 AFB        960.0      0631+1036  125.350    0.000
00082.FTS.fixedfreq.debase 50301.273  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00083.FTS.fixedfreq.debase 50303.579  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00084.FTS.fixedfreq.debase 50311.590  606.0000    -8.0 AFB       1438.8      0631+1036  125.350    0.000
00085.FTS.fixedfreq.debase 50319.253  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00086.FTS.fixedfreq.debase 50323.203  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00087.FTS.fixedfreq.debase 50332.126 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00088.FTS.fixedfreq.debase 50338.391 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00089.FTS.fixedfreq.debase 50342.074 1412.0000   -32.0 AFB        960.0      0631+1036  125.350    0.000
00090.FTS.fixedfreq.debase 50344.216 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00091.FTS.fixedfreq.debase 50348.241 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00092.FTS.fixedfreq.debase 50350.341 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00093.FTS.fixedfreq.debase 50355.226 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00094.FTS.fixedfreq.debase 50358.174  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00095.FTS.fixedfreq.debase 50360.010  606.0000    -8.0 AFB       1438.8      0631+1036  125.350    0.000
