lag_days,r,err,p_local,n_pairs,corr_method,shuffle_method,pc_column,p_global,p_zero_local,p_zero_global
-600.0,-0.1976401997921889,0.009596053582959436,0.000999000999000999,10226,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-550.0,-0.19405403997353082,0.009570855551812705,0.000999000999000999,10276,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-500.0,-0.16290491677574953,0.009604602777214144,0.000999000999000999,10326,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-450.0,-0.1272172317584303,0.00962330036534467,0.000999000999000999,10376,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-400.0,-0.08084821468425893,0.009698901859828347,0.000999000999000999,10426,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-350.0,-0.047880342216353775,0.009678144459390192,0.000999000999000999,10476,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-300.0,-0.036739635427449485,0.009516765944587217,0.000999000999000999,10526,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-250.0,-0.01647019445705301,0.00951750331505924,0.08791208791208792,10576,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-200.0,0.02211076427130308,0.009539134780370707,0.023976023976023976,10626,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-150.0,0.051665871863437116,0.009392625914244305,0.000999000999000999,10676,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-100.0,0.027378079865309563,0.009281122252530995,0.001998001998001998,10726,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-50.0,-0.04436955311874376,0.009295107467929543,0.000999000999000999,10776,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
0.0,-0.06014424742208258,0.009360479100612357,0.000999000999000999,10825,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
50.0,0.007646979347740196,0.009378838344361767,0.4075924075924076,10775,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
100.0,0.06636543272256086,0.009303638390069232,0.000999000999000999,10725,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
150.0,0.06931065423119356,0.00927169381161547,0.000999000999000999,10675,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
200.0,0.05326410253438723,0.009344970468024384,0.000999000999000999,10625,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
250.0,0.05852090884956156,0.009431735945646781,0.000999000999000999,10575,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
300.0,0.07478003438225074,0.009531125209067076,0.000999000999000999,10525,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
350.0,0.07988595562929657,0.00946754048951899,0.000999000999000999,10475,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
400.0,0.07754850762295776,0.009554703665241833,0.000999000999000999,10425,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
450.0,0.08121558102141124,0.009656289842177717,0.000999000999000999,10375,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
500.0,0.07373215611692646,0.00976989502887059,0.000999000999000999,10325,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
550.0,0.04374774387393814,0.009908847261399581,0.000999000999000999,10275,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
600.0,0.011386155227104927,0.009966980136684931,0.2677322677322677,10225,pearson,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
