lag_days,r,err,p_local,n_pairs,corr_method,shuffle_method,pc_column,p_global,p_zero_local,p_zero_global
-600.0,-0.2096906094463004,0.08381570879894125,0.002997002997002997,10226,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
-550.0,-0.21688057469726646,0.08353204192816999,0.000999000999000999,10276,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
-500.0,-0.18555795283682794,0.08580784379912734,0.007992007992007992,10326,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
-450.0,-0.14583979091911797,0.08622009776101057,0.08691308691308691,10376,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
-400.0,-0.10460261224176498,0.0849595932176556,0.25574425574425574,10426,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
-350.0,-0.05540563653432246,0.0847238666302644,0.5464535464535465,10476,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
-300.0,-0.00852356340585271,0.08583549482416887,0.9270729270729271,10526,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
-250.0,0.01497233069928576,0.0867186028538966,0.8771228771228772,10576,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
-200.0,0.00524225109604784,0.08573799414208426,0.962037962037962,10626,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
-150.0,0.001684678206008157,0.08376387444616021,0.995004995004995,10676,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
-100.0,0.028289875968145105,0.08170246198016022,0.7502497502497503,10726,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
-50.0,0.042076930868747475,0.0807379040691989,0.6423576423576424,10776,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
0.0,-0.006236352355560505,0.08083351653565667,0.961038961038961,10825,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
50.0,-0.11049582525346112,0.08063845921764692,0.18581418581418582,10775,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
100.0,-0.1869495598128196,0.08165742643270678,0.011988011988011988,10725,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
150.0,-0.19217059950155221,0.08200956740281665,0.002997002997002997,10675,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
200.0,-0.13736763267305768,0.08168890348098971,0.08591408591408592,10625,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
250.0,-0.06995404192775674,0.08109333525508468,0.4145854145854146,10575,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
300.0,-0.037805970875689154,0.0810653140897927,0.7022977022977023,10525,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
350.0,0.008570568126358254,0.08144962839434795,0.9270729270729271,10475,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
400.0,0.04417158675461721,0.08136301912818142,0.6463536463536463,10425,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
450.0,0.053412173072778235,0.08199552117033448,0.5374625374625375,10375,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
500.0,0.04281149922855352,0.0824811683305445,0.6513486513486514,10325,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
550.0,0.04238029524778082,0.08239857110246994,0.6223776223776224,10275,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
600.0,0.03258249936697574,0.08253180924107209,0.7242757242757243,10225,pearson,circular,PC1,0.000999000999000999,0.961038961038961,1.0
