segment_id,segment_label,segment_start,segment_end,segment_center,corr_method,shuffle_method,pc_column,r_zero_lag,n_pairs_zero_lag,p_zero_local,p_zero_global,p_global_curve,n_spin_points,n_pc_points
9,seg09_53995.2_54495.2,53995.243,54495.243,54245.243,pearson,permute,PC2,-0.3127306637337107,500,0.14085914085914086,0.6373626373626373,0.011988011988011988,500,85
9,seg09_53995.2_54495.2,53995.243,54495.243,54245.243,pearson,circular,PC2,-0.3127306637337107,500,0.5684315684315684,1.0,0.6603396603396603,500,85
9,seg09_53995.2_54495.2,53995.243,54495.243,54245.243,spearman,permute,PC2,-0.346749450997804,500,0.0979020979020979,0.48151848151848153,0.002997002997002997,500,85
9,seg09_53995.2_54495.2,53995.243,54495.243,54245.243,spearman,circular,PC2,-0.346749450997804,500,0.46253746253746253,1.0,0.5884115884115884,500,85
10,seg10_54495.2_54995.2,54495.243,54995.243,54745.243,pearson,permute,PC2,0.03422372873229529,500,0.8191808191808192,1.0,0.003996003996003996,500,123
10,seg10_54495.2_54995.2,54495.243,54995.243,54745.243,pearson,circular,PC2,0.03422372873229529,500,0.981018981018981,1.0,0.5194805194805194,500,123
10,seg10_54495.2_54995.2,54495.243,54995.243,54745.243,spearman,permute,PC2,0.09809348037392149,500,0.5584415584415584,1.0,0.004995004995004995,500,123
10,seg10_54495.2_54995.2,54495.243,54995.243,54745.243,spearman,circular,PC2,0.09809348037392149,500,0.9440559440559441,1.0,0.7692307692307693,500,123
11,seg11_54995.2_55495.2,54995.243,55495.243,55245.243,pearson,permute,PC2,-0.48776737833561334,500,0.001998001998001998,0.014985014985014986,0.001998001998001998,500,147
11,seg11_54995.2_55495.2,54995.243,55495.243,55245.243,pearson,circular,PC2,-0.48776737833561334,500,0.2047952047952048,0.9630369630369631,0.42857142857142855,500,147
11,seg11_54995.2_55495.2,54995.243,55495.243,55245.243,spearman,permute,PC2,-0.34415859263437054,500,0.05194805194805195,0.35564435564435565,0.000999000999000999,500,147
11,seg11_54995.2_55495.2,54995.243,55495.243,55245.243,spearman,circular,PC2,-0.34415859263437054,500,0.45254745254745254,1.0,0.46853146853146854,500,147
12,seg12_55495.2_55995.2,55495.243,55995.243,55745.243,pearson,permute,PC2,-0.5249996843210216,500,0.000999000999000999,0.008991008991008992,0.000999000999000999,500,260
12,seg12_55495.2_55995.2,55495.243,55995.243,55745.243,pearson,circular,PC2,-0.5249996843210216,500,0.24675324675324675,0.9530469530469531,0.06293706293706294,500,260
12,seg12_55495.2_55995.2,55495.243,55995.243,55745.243,spearman,permute,PC2,-0.4612745490981964,500,0.000999000999000999,0.030969030969030968,0.000999000999000999,500,260
12,seg12_55495.2_55995.2,55495.243,55995.243,55745.243,spearman,circular,PC2,-0.4612745490981964,500,0.5894105894105894,1.0,0.02097902097902098,500,260
13,seg13_55995.2_56495.2,55995.243,56495.243,56245.243,pearson,permute,PC2,-0.8421551082461456,500,0.000999000999000999,0.000999000999000999,0.000999000999000999,500,364
13,seg13_55995.2_56495.2,55995.243,56495.243,56245.243,pearson,circular,PC2,-0.8421551082461456,500,0.07392607392607392,0.23876123876123875,0.04895104895104895,500,364
13,seg13_55995.2_56495.2,55995.243,56495.243,56245.243,spearman,permute,PC2,-0.6348852915411661,500,0.000999000999000999,0.000999000999000999,0.000999000999000999,500,364
13,seg13_55995.2_56495.2,55995.243,56495.243,56245.243,spearman,circular,PC2,-0.6348852915411661,500,0.25274725274725274,0.8331668331668332,0.028971028971028972,500,364
14,seg14_56495.2_56995.2,56495.243,56995.243,56745.243,pearson,permute,PC2,-0.19441966379227496,500,0.12687312687312688,0.6743256743256744,0.000999000999000999,500,281
14,seg14_56495.2_56995.2,56495.243,56995.243,56745.243,pearson,circular,PC2,-0.19441966379227496,500,0.8061938061938062,1.0,0.005994005994005994,500,281
14,seg14_56495.2_56995.2,56495.243,56995.243,56745.243,spearman,permute,PC2,-0.13646790587162347,500,0.32967032967032966,0.9140859140859141,0.000999000999000999,500,281
14,seg14_56495.2_56995.2,56495.243,56995.243,56745.243,spearman,circular,PC2,-0.13646790587162347,500,0.8101898101898102,1.0,0.016983016983016984,500,281
15,seg15_56995.2_57495.2,56995.243,57495.243,57245.243,pearson,permute,PC2,-0.869565838379994,500,0.000999000999000999,0.000999000999000999,0.000999000999000999,500,138
