lag_days,r,err,p_local,n_pairs,corr_method,shuffle_method,pc_column,p_global,p_zero_local,p_zero_global
-600.0,-0.1976401997921889,0.12739862347402953,0.11688311688311688,10226,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
-550.0,-0.19405403997353082,0.12681499546434113,0.11988011988011989,10276,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
-500.0,-0.16290491677574953,0.12672002398912455,0.21178821178821178,10326,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
-450.0,-0.1272172317584303,0.12577050992715322,0.3826173826173826,10376,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
-400.0,-0.08084821468425893,0.1247149182074582,0.5424575424575424,10426,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
-350.0,-0.047880342216353775,0.1240700601556474,0.7032967032967034,10476,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
-300.0,-0.036739635427449485,0.12326668972771189,0.7502497502497503,10526,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
-250.0,-0.01647019445705301,0.12290422289867753,0.9270729270729271,10576,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
-200.0,0.02211076427130308,0.12365253757583282,0.8571428571428571,10626,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
-150.0,0.051665871863437116,0.12496315817495246,0.6853146853146853,10676,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
-100.0,0.027378079865309563,0.12550235183281586,0.8351648351648352,10726,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
-50.0,-0.04436955311874376,0.1249137481157288,0.7352647352647352,10776,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
0.0,-0.06014424742208258,0.12447382527131304,0.6683316683316683,10825,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
50.0,0.007646979347740196,0.12490669587009672,0.9660339660339661,10775,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
100.0,0.06636543272256086,0.12553333390317048,0.6423576423576424,10725,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
150.0,0.06931065423119356,0.1258983329136356,0.6243756243756243,10675,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
200.0,0.05326410253438723,0.1262274171515461,0.6753246753246753,10625,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
250.0,0.05852090884956156,0.12648189823369035,0.6583416583416584,10575,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
300.0,0.07478003438225074,0.12679799039673156,0.5824175824175825,10525,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
350.0,0.07988595562929657,0.12720300677704063,0.5504495504495505,10475,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
400.0,0.07754850762295776,0.1270407582380235,0.5834165834165834,10425,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
450.0,0.08121558102141124,0.1270540662414492,0.5654345654345654,10375,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
500.0,0.07373215611692646,0.1271111655770656,0.6133866133866134,10325,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
550.0,0.04374774387393814,0.12758362097684617,0.7072927072927073,10275,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
600.0,0.011386155227104927,0.12845357575995972,0.9100899100899101,10225,pearson,circular,PC2,0.45454545454545453,0.6683316683316683,0.996003996003996
