MJD,nudot,nudot_err,delta_glitch
49994.06827,-1262.6755652960899,0.06035742554218212,0.0
49995.06827,-1262.6763700234133,0.057622567617588716,0.0
49996.06827,-1262.6774525377346,0.05497193912211663,0.0
49997.06827,-1262.6788234328508,0.052404411817724185,0.0
49998.06827,-1262.6804927292362,0.04991885923587755,0.0
49999.06827,-1262.6824698791866,0.04751415865365392,0.0
50000.06827,-1262.6847637697015,0.04518919319302346,0.0
50001.06827,-1262.6873827246566,0.04294285399816433,0.0
50002.06827,-1262.6903345132016,0.040774042724658385,0.0
50003.06827,-1262.693626348644,0.03868167413046567,0.0
50004.06827,-1262.6972648976969,0.03666467893016268,0.0
50005.06827,-1262.7012562832033,0.03472200691789945,0.0
50006.06827,-1262.705606091156,0.03285263029219839,0.0
50007.06827,-1262.7103193741498,0.03105554735346112,0.0
50008.06827,-1262.7154006602436,0.029329786428650702,0.0
50009.06827,-1262.7208539563724,0.02767441015650567,0.0
50010.06827,-1262.7266827576673,0.02608851997851235,0.0
50011.06827,-1262.732890051581,0.02457126097825402,0.0
50012.06827,-1262.7394783268453,0.023121826808513133,0.0
50013.06827,-1262.746449579639,0.021739464625101238,0.0
50014.06827,-1262.7538053230078,0.020423479886157784,0.0
50015.06827,-1262.761546591288,0.019173240541057266,0.0
50016.06827,-1262.7696739518556,0.017988180203403606,0.0
50017.06827,-1262.7781875110775,0.016867799563293196,0.0
50018.06827,-1262.7870869226508,0.015811665070724696,0.0
50019.06827,-1262.796371398766,0.014819403652996192,0.0
50020.06827,-1262.8060397142103,0.013890691728634542,0.0
50021.06827,-1262.8160902208886,0.013025236632786036,0.0
50022.06827,-1262.826520852651,0.012222748205406819,0.0
50023.06827,-1262.8373291377436,0.011482898248903835,0.0
50024.06827,-1262.8485122055276,0.010805266150538086,0.0
50025.06827,-1262.8600667984385,0.01018926987903627,0.0
50026.06827,-1262.8719892803756,0.009634083847271322,0.0
50027.06827,-1262.8842756470929,0.00913854781899353,0.0
50028.06827,-1262.8969215363156,0.00870107504302974,0.0
50029.06827,-1262.9099222378939,0.008319571062784326,0.0
50030.06827,-1262.9232727038093,0.007991377234600435,0.0
50031.06827,-1262.9369675588512,0.007713252229471897,0.0
50032.06827,-1262.95100110951,0.007481401140766737,0.0
50033.06827,-1262.9653673584378,0.007291554176499906,0.0
50034.06827,-1262.9800600089593,0.007139088387477797,0.0
50035.06827,-1262.995072481945,0.00701917795687882,0.0
50036.06827,-1263.0103979219004,0.006926954444687745,0.0
50037.06827,-1263.0260292105522,0.006857658324052266,0.0
50038.06827,-1263.0419589756507,0.006806767638858777,0.0
50039.06827,-1263.058179601788,0.006770095041137021,0.0
50040.06827,-1263.074683243245,0.006743851336620667,0.0
50041.06827,-1263.0914618330278,0.006724677743363342,0.0
50042.06827,-1263.1085070938414,0.006709652492071492,0.0
