label,pc_name,rho,rho_null_mean,rho_null_std,rho_null_z,p_circular,n_pairs,n_shifts,mjd_min,mjd_max,score_file,score_col,spin_col,alignment
AFB,PC1,0.032886403862107214,0.00209559601651356,0.09019189402042446,0.3413921858501042,0.7742257742257742,5331,1000,49995.067,55325.067,AFB_PC1.csv,PC1_gp_mean,nudot,interpolate
AFB,PC2,-0.38208440741867555,-0.005382442912476221,0.12837092189988691,-2.934480479932825,0.000999000999000999,5331,1000,49995.067,55325.067,AFB_PC2.csv,PC2_gp_mean,nudot,interpolate
DFB,PC1,0.006419717959790566,0.004779254068770528,0.1294082972530667,0.012676651542767769,0.964035964035964,5972,1000,54849.066,60820.066,DFB_PC1.csv,PC1_gp_mean,nudot,interpolate
DFB,PC2,-0.26234099585623,0.005116042752690688,0.17635431118149886,-1.516589171067451,0.10789210789210789,5972,1000,54849.066,60820.066,DFB_PC2.csv,PC2_gp_mean,nudot,interpolate
