MJD,PC1_gp_mean,PC1_gp_std
49994.067,0.2994353393120364,0.030843751147174185
49995.067,0.30857771199994083,0.030109214562778024
49996.067,0.3174200803417215,0.029536261816050756
49997.067,0.3259296369206202,0.029107591301235032
49998.067,0.33407565198828765,0.028805302836450667
49999.067,0.3418297567954561,0.028612115457043962
50000.067,0.3491661989883463,0.028512279947609853
50001.067,0.35606206597321066,0.028492110703375494
50002.067,0.362497472651338,0.02854013333315866
50003.067,0.3684557105038249,0.028646899613852014
50004.067,0.3739233556479273,0.028804555142628085
50005.067,0.3788903341816223,0.029006259461074532
50006.067,0.38334994386548304,0.029245558157231885
50007.067,0.387298831945442,0.02951579574027724
50008.067,0.39073692968023077,0.029809640129456916
50009.067,0.39366734488675603,0.03011876707149685
50010.067,0.39609621453926924,0.030433728474551773
50011.067,0.39803252013836815,0.03074400553098242
50012.067,0.3994878691892953,0.031038228400059018
50013.067,0.40047624668277126,0.03130453108043489
50014.067,0.40101374094464826,0.03153100356364557
50015.067,0.40111824860404455,0.03170620276199546
50016.067,0.4008091637166537,0.03181968747178882
50017.067,0.40010705626640153,0.0318625488342771
50018.067,0.3990333453528633,0.03182791458413324
50019.067,0.3976099723546147,0.031711411412154375
50020.067,0.3958590792431704,0.03151157403471084
50021.067,0.393802697013795,0.031230191408106425
50022.067,0.3914624489056511,0.030872579480704977
50023.067,0.38885927271366527,0.03044776554356385
50024.067,0.3860131660586842,0.02996856134283875
50025.067,0.38294295799256206,0.02945149079034295
50026.067,0.3796661097830365,0.02891652457160532
50027.067,0.3761985471621747,0.02838656159061103
50028.067,0.3725545257442838,0.027886592805589513
50029.067,0.3687465307365229,0.02744249727318734
50030.067,0.3647852114893563,0.02707946547366893
50031.067,0.3606793508747449,0.02682012826695632
50032.067,0.35643586894667195,0.026682581436755934
50033.067,0.352059859838925,0.026678600272445018
50034.067,0.3475546603952604,0.026812381109222884
50035.067,0.3429219486118104,0.02708008217162758
50036.067,0.3381618696041164,0.0274702672449505
50037.067,0.33327318649323845,0.027965145311695073
50038.067,0.32825345333752554,0.02854233580472164
50039.067,0.32309920701821604,0.02917683088386097
50040.067,0.3178061748165289,0.02984287134026121
50041.067,0.31236949429507094,0.030515555039040947
50042.067,0.306783942014496,0.03117210320871358
50043.067,0.3010441675744433,0.03179278762147999
50044.067,0.295144929462838,0.03236156268828571
50045.067,0.28908132922678925,0.0328664579272541
50046.067,0.28284904053900833,0.03329977987957866
50047.067,0.27644452982375267,0.03365815828282363
50048.067,0.26986526522415305,0.03394245551404657
50049.067,0.26310991083728447,0.03415754434935994
50050.067,0.25617850331393205,0.03431194862989152
50051.067,0.24907260811656198,0.03441733557553309
50052.067,0.2417954529517908,0.03448784840744925
50053.067,0.23435203614314648,0.03453927495227185
50054.067,0.22674920798671383,0.03458806303928259
50055.067,0.21899572343682522,0.03465021655197135
50056.067,0.21110226480150046,0.03474013431262488
50057.067,0.20308143348757596,0.03486948173186265
50058.067,0.1949477102224824,0.035046203886271034
50059.067,0.18671738359170262,0.03527378977352639
50060.067,0.17840844716541435,0.03555087600231491
50061.067,0.17004046594100133,0.035871236208828976
50062.067,0.16163441329523703,0.03622414967933907
50063.067,0.1532124801151305,0.036595092790403995
50064.067,0.14479785825275499,0.036966662279501274
50065.067,0.1364145009189659,0.03731962618944582
50066.067,0.1280868630850262,0.03763400528702574
50067.067,0.11983962539042556,0.037890108239520166
50068.067,0.11169740544978454,0.038069469650831265
50069.067,0.10368446080170432,0.03815566450351413
50070.067,0.09582438803785483,0.03813499176701196
50071.067,0.0881398228820167,0.03799703273974752
50072.067,0.08065214614742028,0.037735096648307924
50073.067,0.07338120057878726,0.03734656838491367
50074.067,0.06634502357650583,0.036833172221464365
50075.067,0.059559600699463505,0.03620116161257645
50076.067,0.053038644647121165,0.03546143886154756
50077.067,0.04679340412936266,0.03462959889327583
50078.067,0.04083250664555651,0.03372587758808489
50079.067,0.035161838715451164,0.03277496597030917
50080.067,0.02978446653960143,0.03180562689126122
50081.067,0.024700599423879865,0.030850023548799038
50082.067,0.019907597591311867,0.029942648149469443
50083.067,0.015400025237096545,0.02911874230673672
50084.067,0.011169748873121017,0.028412155037884156
50085.067,0.0072060801720270394,0.027852713858248095
50086.067,0.003495961674617897,0.02746338584739587
50087.067,2.419288566831662e-05,0.027257716927520787
50088.067,-0.0032263065299582565,0.027238139399710936
50089.067,-0.006274200508492988,0.027395618042501502
50090.067,-0.00913941207155828,0.027710763190071087
50091.067,-0.011842775929431821,0.028156125460521556
50092.067,-0.014405674135474302,0.02869910744266637
50093.067,-0.016849661152667544,0.02930489310099379
50094.067,-0.019196085002600272,0.029938960844381923
50095.067,-0.021465711347884053,0.030568980843293566
50096.067,-0.02367835740423022,0.031166090480210927
50097.067,-0.025852542484552717,0.03170565036749609
50098.067,-0.028005161743855853,0.03216761725585833
50099.067,-0.03015118932289418,0.032536659326849036
50100.067,-0.03230341658640206,0.03280211055188395
50101.067,-0.034472230526957144,0.03295783009565413
50102.067,-0.036665436670093296,0.03300200699656925
50103.067,-0.038888129984658924,0.03293693094191759
50104.067,-0.04114261639159604,0.03276873582527521
50105.067,-0.04342838649328437,0.032507112262951415
50106.067,-0.045742142134956885,0.03216497693741918
50107.067,-0.04807787538116861,0.031758079752514136
50108.067,-0.05042699846618958,0.03130452441763727
50109.067,-0.05277852227989062,0.030824175361341497
50110.067,-0.055119280002058096,0.030337926065199427
50111.067,-0.05743419161897317,0.0298668141233722
50112.067,-0.05970656426581728,0.02943098958692898
50113.067,-0.06191842265427241,0.029048576432783624
50114.067,-0.06405086328137448,0.028734508680926155
50115.067,-0.06608442568519578,0.02849946266648972
50116.067,-0.06799947372409572,0.028349029814416754
50117.067,-0.06977657971455234,0.028283264960460255
50118.067,-0.07139690426995104,0.028296698080929
50119.067,-0.07284256483763982,0.028378822125137197
50120.067,-0.07409698622906542,0.028514989908188036
50121.067,-0.07514522686960783,0.02868759471431474
50122.067,-0.07597427504946394,0.02887738811355181
50123.067,-0.07657331012050557,0.029064803942469096
50124.067,-0.07693392433997102,0.029231196231225658
50125.067,-0.07705030189179782,0.029359944113873077
50126.067,-0.0769193525005501,0.029437415303192122
50127.067,-0.0765407979705851,0.029453805071090886
50128.067,-0.07591721091330077,0.029403878776005657
50129.067,-0.07505400584718398,0.029287644218524048
50130.067,-0.07395938374883444,0.029110966735829615
50131.067,-0.0726442319792812,0.028886114620503615
50132.067,-0.07112198229151018,0.02863218324395676
50133.067,-0.0694084303270488,0.028375291578983348
50134.067,-0.067521520618922,0.02814837808783847
50135.067,-0.06548110162521269,0.027990360781410883
50136.067,-0.06330865571451973,0.02794440749240871
50137.067,-0.061027009307424086,0.028055147772754623
50138.067,-0.05866002854518576,0.0283649016489951
50139.067,-0.056232305909651364,0.028909385308166054
50140.067,-0.05376884316081469,0.029713727924378562
50141.067,-0.051294735797154906,0.030789748559698044
50142.067,-0.04883486398746914,0.03213513618926175
50143.067,-0.046413594581977254,0.033734562589727804
50144.067,-0.044054498397030156,0.03556217758937815
50145.067,-0.04178008649493036,0.03758468156000813
50146.067,-0.039611568661980304,0.039764275946047895
50147.067,-0.03756863673800644,0.0420610860807082
50148.067,-0.03566927488324998,0.04443493727106771
50149.067,-0.03392959829718425,0.04684654726493228
50150.067,-0.032363721341224505,0.049258272240492104
50151.067,-0.030983655475058224,0.05163454755611308
50152.067,-0.029799236904734717,0.05394213749423219
50153.067,-0.02881808336849036,0.05615027472683453
50154.067,-0.028045579060686235,0.05823074140591397
50155.067,-0.027484886320623726,0.060157922693818
50156.067,-0.0271369823950855,0.06190884957228029
50157.067,-0.027000719323227187,0.06346323916632184
50158.067,-0.02707290479034376,0.0648035358717015
50159.067,-0.027348401651972422,0.06591495394677269
50160.067,-0.02782024373940966,0.06678552099561487
50161.067,-0.02847976551850027,0.0674061213300468
50162.067,-0.029316743181087693,0.06777053818427331
50163.067,-0.030319544797673997,0.06787549394829384
50164.067,-0.03147528724502218,0.06772068785818808
50165.067,-0.03276999773776804,0.06730883085910555
50166.067,-0.03418877793265202,0.06664567759118949
50167.067,-0.035715968731898376,0.06574005559401622
50168.067,-0.03733531408299926,0.06460389181922259
50169.067,-0.039030122250536946,0.06325223628314953
50170.067,-0.04078342321704726,0.061703282014530125
50171.067,-0.042578121050196704,0.0599783790866512
50172.067,-0.04439714024925275,0.05810203805068129
50173.067,-0.046223565252134176,0.056101913891828344
50174.067,-0.048040772443020914,0.054008754872141594
50175.067,-0.04983255414794645,0.051856290285471424
50176.067,-0.051583234240903844,0.049681016280083576
50177.067,-0.05327777510513249,0.0475218192656407
50178.067,-0.05490187580318988,0.04541935382826635
50179.067,-0.05644206140522187,0.04341507261647345
50180.067,-0.05788576350784479,0.04154980237362464
50181.067,-0.05922139204670546,0.03986179430482262
50182.067,-0.06043839856464949,0.038384272575346705
50183.067,-0.06152733114509656,0.037142673051643926
50184.067,-0.0624798812572683,0.036151976518560475
50185.067,-0.06328892278687577,0.035414709081733685
50186.067,-0.06394854354323512,0.03492018576827347
50187.067,-0.06445406954196092,0.034645338025713956
50188.067,-0.06480208236177472,0.03455705269294311
50189.067,-0.06499042986492883,0.0346155468352273
50190.067,-0.0650182305536694,0.03477809973525822
50191.067,-0.0648858718104992,0.03500252029696522
50192.067,-0.06459500223830356,0.03524995792427586
50193.067,-0.06414851827838057,0.0354869252073094
50194.067,-0.06355054524097033,0.035686590594283335
50195.067,-0.0628064128351327,0.03582949010123849
50196.067,-0.061922625234156994,0.03590381930519222
50197.067,-0.06090682566074317,0.03590543468224589
50198.067,-0.05976775542486936,0.03583764430872728
50199.067,-0.058515207298697074,0.03571081773364617
50200.067,-0.057159973069406726,0.03554180056520862
50201.067,-0.055713785074993964,0.035353084792106804
50202.067,-0.0541892515023737,0.03517166595289473
50203.067,-0.05259978521420354,0.03502752121479889
50204.067,-0.050959525873134494,0.03495167886653405
50205.067,-0.04928325515200986,0.03497392705650991
50206.067,-0.047586304857830275,0.03512032183427828
50207.067,-0.0458844578576546,0.035410772764593666
50208.067,-0.04419384177704278,0.03585705829561655
50209.067,-0.0425308155466013,0.03646160239342698
50210.067,-0.04091184899937312,0.03721721271917138
50211.067,-0.03935339587018495,0.0381077782287152
50212.067,-0.03787176071575429,0.03910972918777178
50213.067,-0.03648296045866665,0.04019394709553843
50214.067,-0.03520258145572636,0.04132780157905367
50215.067,-0.03404563319732666,0.042477061668548595
50216.067,-0.03302639995430727,0.043607532185320604
50217.067,-0.032158291896557424,0.04468636085702242
50218.067,-0.031453697407152856,0.04568302741862269
50219.067,-0.03092383850047239,0.046570060213984396
50220.067,-0.030578631415741814,0.04732353639069617
50221.067,-0.030426554591967123,0.047923418464494764
50222.067,-0.030474526329660613,0.048353770635602464
50223.067,-0.030727794502918872,0.048602887612865596
50224.067,-0.03118984069671688,0.04866335921692043
50225.067,-0.03186230110402193,0.04853208647085151
50226.067,-0.032744906421793916,0.04821025916884413
50227.067,-0.03383544283168837,0.04770330057707737
50228.067,-0.035129735939193836,0.047020781364176555
50229.067,-0.036621659274448756,0.04617630144222535
50230.067,-0.0383031686310781,0.0451873344801431
50231.067,-0.0401643631396898,0.044075024800608306
50232.067,-0.042193573545439934,0.04286391964106652
50233.067,-0.04437747769113901,0.041581611060136886
50234.067,-0.046701242707064994,0.04025825145553427
50235.067,-0.04914869288561341,0.03892589638031905
50236.067,-0.05170250168400315,0.03761762195437931
50237.067,-0.0543444057631532,0.036366368518468174
50238.067,-0.057055438447998624,0.03520348685343484
50239.067,-0.05981617949661078,0.03415701767179955
50240.067,-0.06260701760535242,0.03324982137100056
50241.067,-0.06540842166737018,0.03249777844007148
50242.067,-0.06820121645385806,0.0319083639894004
50243.067,-0.07096685811256916,0.031479911841474716
50244.067,-0.07368770468554198,0.031201789207915196
50245.067,-0.0763472767459153,0.03105551542699879
50246.067,-0.07893050324810505,0.031016645605534847
50247.067,-0.08142394778051869,0.031057089285512304
50248.067,-0.0838160106071192,0.03114749796679361
50249.067,-0.08609710218288764,0.031259424953664315
50250.067,-0.08825978422549814,0.031367084620437385
50251.067,-0.09029887491580994,0.03144865918770936
50252.067,-0.09221151537521914,0.031487185466043524
50253.067,-0.09399719521844715,0.031471094458626836
50254.067,-0.09565773569382818,0.03139448228473456
50255.067,-0.09719722968574651,0.03125717516206148
50256.067,-0.09862193865021818,0.031064625355237564
50257.067,-0.09994014736828186,0.030827646139553064
50258.067,-0.10116197821568244,0.03056196617332386
50259.067,-0.10229916744389127,0.030287560909084743
50260.067,-0.10336480672940866,0.03002770613653161
50261.067,-0.10437305395885947,0.029807704515941932
50262.067,-0.10533881786074782,0.02965326955497501
50263.067,-0.10627742165658687,0.029588618797596375
50264.067,-0.10720425137173294,0.029634422707687486
50265.067,-0.10813439480916864,0.029805851812026357
50266.067,-0.1090822774394494,0.03011101906089981
50267.067,-0.1100613015914873,0.030550086473374538
50268.067,-0.11108349533887818,0.031115185773370618
50269.067,-0.11215917736502598,0.03179112960784852
50270.067,-0.11329664386007951,0.03255673089384973
50271.067,-0.11450188315912696,0.033386460780994956
50272.067,-0.11577832338218476,0.03425217742619774
50273.067,-0.11712661779268187,0.035124723960907586
50274.067,-0.11854447196476015,0.03597528333240743
50275.067,-0.12002651615501547,0.03677645640542353
50276.067,-0.1215642255267595,0.03750308221606924
50277.067,-0.12314589009091353,0.038132845291082164
50278.067,-0.12475663542415892,0.0386467217354742
50279.067,-0.12637849441881058,0.03902931174593439
50280.067,-0.12799052952650178,0.03926909773456939
50281.067,-0.1295690041946841,0.03935865812836179
50282.067,-0.13108760147536389,0.03929485879498206
50283.067,-0.13251768712195028,0.03907903717605004
50284.067,-0.13382861389312556,0.03871718795281904
50285.067,-0.1349880632605373,0.03822015219533893
50286.067,-0.13596242027575509,0.037603802692809885
50287.067,-0.1367171769946746,0.03688920423521077
50288.067,-0.13721735958524062,0.03610270633848677
50289.067,-0.13742797405538293,0.03527589493317209
50290.067,-0.1373144654285137,0.034445288784002465
50291.067,-0.13684318515786534,0.033651621929346856
50292.067,-0.13598186160064857,0.0329385231748965
50293.067,-0.13470006845939694,0.03235042208041622
