MJD,PC1_gp_mean,PC1_gp_std
54849.066,-0.11502093782710691,0.33933045579856075
54850.066,-0.11539007942350536,0.3388715401629242
54851.066,-0.11572839159445357,0.3384230315900927
54852.066,-0.11603518062519307,0.33798504468249746
54853.066,-0.11630975359447408,0.337557680800149
54854.066,-0.11655141881784471,0.3371410280670535
54855.066,-0.11675948630692622,0.3367351614112594
54856.066,-0.11693326824487234,0.3363401426382321
54857.066,-0.11707207947818392,0.3359560205371195
54858.066,-0.11717523802502909,0.3355828310193374
54859.066,-0.11724206560018847,0.335220597288774
54860.066,-0.11727188815672455,0.3348693300427629
54861.066,-0.11726403644443238,0.33452902770291254
54862.066,-0.1172178465851161,0.3341996766746563
54863.066,-0.11713266066468582,0.3338812516343755
54864.066,-0.11700782734204752,0.33357371584278084
54865.066,-0.11684270247471719,0.3332770214831508
54866.066,-0.11663664976105807,0.33299111002293647
54867.066,-0.11638904139899943,0.3327159125971482
54868.066,-0.11609925876105688,0.3324513504118685
54869.066,-0.11576669308543376,0.33219733516616007
54870.066,-0.1153907461829455,0.3319537694905853
54871.066,-0.11497083115944258,0.33172054740048423
54872.066,-0.11450637315343078,0.3314975547621603
54873.066,-0.11399681008843286,0.33128466977002113
54874.066,-0.11344159343969996,0.3310817634327687
54875.066,-0.11284018901476593,0.3308887000666776
54876.066,-0.11219207774731695,0.3307053377940133
54877.066,-0.11149675650379355,0.3305315290446424
54878.066,-0.11075373890209428,0.33036712105890526
54879.066,-0.10996255614170354,0.3302119563898435
54880.066,-0.10912275784451936,0.33006587340290994
54881.066,-0.10823391290556171,0.3299287067713191
54882.066,-0.10729561035283469,0.3298002879652739
54883.066,-0.1063074602153271,0.32968044573331357
54884.066,-0.10526909439832305,0.32956900657413785
54885.066,-0.10418016756500277,0.32946579519730407
54886.066,-0.10304035802331095,0.3293706349712792
54887.066,-0.10184936861701364,0.32928334835740913
54888.066,-0.10060692761981617,0.32920375732845375
54889.066,-0.09931278963136661,0.329131683770427
54890.066,-0.09796673647393246,0.3290669498665771
54891.066,-0.09656857808841465,0.32900937846243633
54892.066,-0.09511815342854883,0.32895879341098194
54893.066,-0.09361533135171643,0.32891501989703426
54894.066,-0.09206001150512562,0.32887788474014273
54895.066,-0.09045212520585481,0.32884721667530564
54896.066,-0.0887916363132857,0.32882284661097994
54897.066,-0.08707854209240443,0.3288046078639436
54898.066,-0.08531287406641319,0.32879233637068495
54899.066,-0.08349469885706196,0.3287858708750923
54900.066,-0.08162411901107405,0.32878505309233197
54901.066,-0.07970127381103148,0.32878972784889954
54902.066,-0.07772634006894065,0.3287997431989365
54903.066,-0.07569953290101272,0.32881495051700255
54904.066,-0.07362110648161506,0.32883520456759124
54905.066,-0.07149135477488237,0.32886036355177406
54906.066,-0.0693106122421301,0.3288902891314456
54907.066,-0.06707925452331061,0.32892484643173414
54908.066,-0.06479769909072283,0.3289639040222245
54909.066,-0.06246640587318458,0.3290073338777206
54910.066,-0.06008587784886772,0.3290550113193517
54911.066,-0.057656661605020365,0.32910681493689703
54912.066,-0.05517934786266099,0.32916262649327416
54913.066,-0.05265457196475695,0.32922233081218816
54914.066,-0.050083014325712855,0.3292858156500137
54915.066,-0.04746540084070505,0.3293529715530153
54916.066,-0.04480250325299855,0.32942369170107083
54917.066,-0.04209513947754554,0.32949787173909906
54918.066,-0.03934417387917002,0.32957540959743004
54919.066,-0.0365505175036725,0.32965620530238693
54920.066,-0.033715128260224395,0.3297401607783734
54921.066,-0.030839011053482544,0.32982717964277863
54922.066,-0.02792321786373078,0.3299171669950332
54923.066,-0.02496884777389736,0.330010029201138
54924.066,-0.021977046941525157,0.33010567367502064
54925.066,-0.018949008514644462,0.3302040086580432
54926.066,-0.015885972490068116,0.3303049429979917
54927.066,-0.01278922551285148,0.3304083859288605
54928.066,-0.009660100615707127,0.3305142468527248
54929.066,-0.006499976897227122,0.33062243512497086
54930.066,-0.0033102791378492365,0.3307328598441234
54931.066,-9.247735259964446e-05,0.3308454296474755
54932.066,0.003151913720455443,0.33096005251369204
54933.066,0.006421335196476172,0.3310766355734953
54934.066,0.009714184686097404,0.3311950849295261
54935.066,0.013028817003907208,0.33131530548638716
54936.066,0.016363544943861708,0.33143720079184164
54937.066,0.019716640122060387,0.33156067289006974
54938.066,0.023086333887228527,0.33168562218782666
54939.066,0.02647081829915505,0.3318119473342769
54940.066,0.029868247175217563,0.33193954511521245
54941.066,0.03327673720502826,0.3320683103622873
54942.066,0.036694369133084465,0.33219813587783065
54943.066,0.04011918900939653,0.3323289123757266
54944.066,0.043549209507358425,0.3324605284387541
54945.066,0.0469824113089892,0.3325928704927352
54946.066,0.050416744556574966,0.33272582279772595
54947.066,0.05385013037020928,0.3328592674564246
54948.066,0.05728046243040778,0.3329930844398852
54949.066,0.06070560862488484,0.33312715163054624
54950.066,0.06412341275844971,0.3332613448825032
54951.066,0.06753169632486258,0.33339553809887745
54952.066,0.07092826033933346,0.3335296033260533
54953.066,0.07431088723042065,0.333663410864489
54954.066,0.07767734278937818,0.33379682939570987
54955.066,0.0810253781758502,0.3339297261250585
54956.066,0.08435273197771599,0.33406196693966866
54957.066,0.08765713232335134,0.3341934165810876
54958.066,0.09093629904425975,0.3343239388319003
54959.066,0.09418794588593225,0.33445339671564733
54960.066,0.09740978276468347,0.33458165270927553
54961.066,0.10059951806809277,0.33470856896730355
54962.066,0.10375486099654693,0.3348340075568377
54963.066,0.10687352394344538,0.33495783070253143
54964.066,0.10995322491098816,0.3350799010405239
54965.066,0.11299168995926165,0.3352000818803872
54966.066,0.11598665568533816,0.3353182374740474
54967.066,0.1189358717295471,0.33543423329063654
54968.066,0.12183710330580756,0.3355479362962017
54969.066,0.12468813375284667,0.33565921523717956
54970.066,0.1274867671030458,0.3357679409265313
54971.066,0.13023083066557872,0.3358739865314227
54972.066,0.13291817762043012,0.33597722786132816
54973.066,0.13554668961979233,0.33607754365543596
54974.066,0.13811427939342819,0.33617481586824316
54975.066,0.14061889335407277,0.3362689299522177
54976.066,0.14305851419965387,0.33635977513644644
54977.066,0.1454311635083004,0.3364472447001763
54978.066,0.14773490432253505,0.3365312362401947
54979.066,0.14996784371884297,0.33661165193101145
54980.066,0.1521281353588196,0.33668839877683415
54981.066,0.15421398201806497,0.33676138885436596
54982.066,0.1562236380889824,0.3368305395454807
54983.066,0.15815541205361888,0.3368957737588783
54984.066,0.1600076689227777,0.33695702013986173
54985.066,0.1617788326373297,0.337014213267415
54986.066,0.163467388428191,0.3370672938378248
54987.066,0.1650718851309171,0.3371162088341219
54988.066,0.16659093745121045,0.3371609116806805
54989.066,0.16802322817756635,0.3372013623823659
54990.066,0.16936751033733372,0.3372375276476762
54991.066,0.170622609292517,0.33726938099538334
54992.066,0.17178742477169295,0.33729690284423663
54993.066,0.1728609328344756,0.3373200805853551
54994.066,0.173842187765084,0.3373389086369952
54995.066,0.1747303238914608,0.3373533884814413
54996.066,0.17552455732677957,0.33736352868383473
54997.066,0.17622418762995232,0.33736934489281617
54998.066,0.17682859938203382,0.33737085982292114
54999.066,0.1773372636754548,0.33736810321873323
55000.066,0.17774973951313222,0.33736111180086176
55001.066,0.1780656751146165,0.3373499291938744
55002.066,0.1782848091265577,0.33733460583637687
55003.066,0.17840697173489392,0.3373151988734931
55004.066,0.1784320856762942,0.3372917720320603
55005.066,0.17836016714652933,0.3372643954789106
55006.066,0.17819132660357764,0.3372331456626701
55007.066,0.17792576946342512,0.3371981051395602
55008.066,0.17756379668666455,0.3371593623837394
55009.066,0.17710580525415293,0.3371170115827772
55010.066,0.1765522885301503,0.33707115241889957
55011.066,0.17590383651152025,0.3370218898366915
